filename,texto
4168749af2f8f997880e29e4096ba5e6ba1ad62d.txt.txt,"CMP 102 65050809304 ITRACONAZOL 100MG CAPSULA CARTELA PLASTICO/ALUMINIO CAP 103 65051803407 IVERMECTINA 6MG COMP CMP 104 65051901409 LEVODOPA + BENSERAZIDA 200 MG + 50MG COMP CMP 105 65051900941 LEVODOPA + BENZERAZIDA 100 MG + 25MG COMP CMP 106 65053801282 LEVOMEPROMAZINA, CLORIDRATO 40MG/ML (4%) SOLUCAO ORAL FRASCO CONTA-GOTAS MINIMO 20ML."
6e3f63b1c3114efeceeb85535d4f0c65d520ad99.txt.txt,"VALOR TOTAL ADJUDICADO: 2.701.918,8308ITEM CÓDIGO ESPECIFICAÇÃO / MARCA QTDE (COTA PRINCIPAL)VALOR UNITÁRIO (R$ )23 65.05.46.016-43 ISOSSORBIDA, DINITRATO COMPRIMIDO SUBLINGUAL 5MG CARTELA PLASTICO/ALUMINIO 458.466 0,2318ITEM CÓDIGO ESPECIFICAÇÃO / MARCA QTDE (ME E EPP) VALOR UNITÁRIO (R$ )24 65.05.46.016-43 ISOSSORBIDA, DINITRATO COMPRIMIDO SUBLINGUAL 5MG CARTELA PLASTICO/ALUMINIO 50.940 0,2318ITEM CÓDIGO ESPECIFICAÇÃO / MARCA QTDE (COTA PRINCIPAL)VALOR UNITÁRIO (R$ )27 65.05.18.034-07 IVERMECTINA 6MG COMP 389.149 0,36ITEM CÓDIGO ESPECIFICAÇÃO / MARCA QTDE (ME E EPP) VALOR UNITÁRIO (R$ )28 65.05.18.034-07 IVERMECTINA 6MG COMP 43.238 0,36ITEM CÓDIGO ESPECIFICAÇÃO / MARCA QTDE (COTA PRINCIPAL)VALOR UNITÁRIO (R$ )48 65.05.36.017-80 MEDROXIPROGESTERONA 150 MG/ML INJETÁVEL 295.040 8,23EXTRATO DA ATA DE REGISTRO DE PREÇOS Nº 236/2021ÓRGÃO GESTOR: SECRETARIA MUNICIPAL DE SAÚDE."
d4bebd4c02f541118eea9f36989f5526592eba8f.txt.txt,"CMP 102 65050809304 ITRACONAZOL 100MG CAPSULA CARTELA PLASTICO/ALUMINIO CAP 103 65051803407 IVERMECTINA 6MG COMP CMP 104 65051901409 LEVODOPA + BENSERAZIDA 200 MG + 50MG COMP CMP 105 65051900941 LEVODOPA + BENZERAZIDA 100 MG + 25MG COMP CMP 106 65053801282 LEVOMEPROMAZINA, CLORIDRATO 40MG/ML (4%) SOLUCAO ORAL FRASCO CONTA-GOTAS MINIMO 20ML."
3b53fc8cec7d0b92c6130efdf59db042e4a256c2.txt.txt,"ITEM: 40DESCRIÇÃO: IVERMECTINADESCRIÇÃO COMPLEMENTAR: IVERMECTINA, CONCENTRAÇÃO: 10 MG,ML, FORMA FARMACÊUTICA: SOLUÇÃO INJETÁVEL, USO: USO VETERINÁRIOTRATAMENTO DIFERENCIADO: TIPO I - PARTICIPAÇÃO EXCLUSIVA DE ME/EPP/EQUIPARADAQUANTIDADE: 420 UNIDADE DE FORNECIMENTO: FRASCO 50,00 MLVALOR ESTIMADO: R$ 19,0000 SITUAÇÃO: ACEITO E HABILITADOAPLICABILIDADE DECRETO 7174: NÃO APLICABILIDADE MARGEM DE PREFERÊNCIA: NÃOINTERVALO MÍNIMO ENTRE LANCES: R$ 0,01ACEITO PARA: SUPRAMIL COMERCIAL LTDA, PELO MELHOR LANCE DE R$ 5,5500 E A QUANTIDADE DE 420 FRASCO 50,00 ML ."
cf6b2743f4f0721c3f09484bebab6d75c45a4d87.txt.txt,"CMP 102 65050809304 ITRACONAZOL 100MG CAPSULA CARTELA PLASTICO/ALUMINIO CAP 103 65051803407 IVERMECTINA 6MG COMP CMP 104 65051901409 LEVODOPA + BENSERAZIDA 200 MG + 50MG COMP CMP 105 65051900941 LEVODOPA + BENZERAZIDA 100 MG + 25MG COMP CMP 106 65053801282 LEVOMEPROMAZINA, CLORIDRATO 40MG/ML (4%) SOLUCAO ORAL FRASCO CONTA-GOTAS MINIMO 20ML."
769142b06e94975d200693c35e95775de21122aa.txt,"1º - DESIGNAR A SERVIDORA TARCIANA DANTAS NOGUEIRA DUARTE, MATRÍCULA: 509703-7, PARA ATUAÇÃO COMO GESTOR DE CONTRATO, NO ÂMBITO DO CONTRATO Nº 161/2020, FIRMADO ENTRE O MUNICÍPIO DE MOSSORÓ/RN E R. W. DE SÁ COSTA, PARA FORNECIMENTO MEDICAMENTO MANIPULADO IVERMECTINA PARA USO NAS UNIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE MOSSORÓ."
769142b06e94975d200693c35e95775de21122aa.txt,"2º - DESIGNAR A SERVIDORA ALINE FERNANDES CARLOS DE PAIVA, MATRÍCULA N° 5095611-2, PARA ATUAÇÃO COMO FISCAL DE CONTRATO, NO ÂMBITO DO CONTRATO Nº 161/2020, FIRMADO ENTRE O MUNICÍPIO DE MOSSORÓ/RN E R. W. DE SÁ COSTA, PARA FORNECIMENTO MEDICAMENTO MANIPULADO IVERMECTINA PARA USO NAS UNIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE MOSSORÓ."
7ce37fa37b2a34acf0f3a1793905c1b70a4a7419.txt,"2º NOS KITS CONTERÃO OS SEGUINTES MEDICAMENTOS:I – IVERMECTINAII – VITAMINA DIII - AZITROMICINADA FORMA COMO PROPOSTO, O PROJETO DE LEI VAI DE ENCONTRO AO DISPOSTO NA LEI FEDERAL N. 12.842, DE 10 DE JULHO DE 2013, QUE DISPÕE SOBRE O EXERCÍCIO DA MEDICINA, ESPECIALMENTE DO ART."
7c0d4ebd3b7b705241d8c95c53330c394a324218.txt,"EMPRESA: BIOMED DISTRIBUIDORA DE MEDICAMENTOS EIRELI CNPJ/MF: 38.329.458/0001-61ITEM DESCRIÇÃO QTDE/ UND MARCA VALOR UNITÁRIO R$ VALOR TOTAL R$07 IVERMECTINA 6 MG COMPRIMIDO 10.000 CPR VITAMEDIC 0,76 7.600,0018 LORATADINA 1 MG/ML FRASCO 100ML XAROPE."
55bb79740210d85ea9b94b518d6783b3a69f27d9.txt,"HIPOLABOR 1.200 FR R$ 4,20 R$ 5.040,0086 IVERMECTINA 6 MG COMPRIMIDO VITAMEDIC 10.000 CPR R$ 0,20 R$ 2.000,0096 LOSARTANA POTÁSSICA 50MG COMPRIMIDO."
fdddffe16bba9c9f493c4a98e3a0dc4ce3d7518f.txt,"VALÉRIA SILVA PARANAGUÁSECRETÁRIA DA SAÚDEANEXO ÚNICOMEDCOM DISTRIBUIDORA DE MEDICAMENTOS EIRELI – CNPJ Nº 22.635.177/0001-05ITEM QTD UN DESCRIÇÃO DO OBJETO1 50000 CPR AZITROMICINA 500 MG2 50000 CPR IVERMECTINA 6 MG3 700 AMP DEXMEDETOMIDINA INJETÁVEL4 300 AMP BROMETO DE PANCURÔNIO 2MG/ML 2 ML5 100000 CPR DIPIRONA 500 MG6 20000 CPR DEXAMETASONA 4 MG7 300 FA VANCOMICINA 1 G8 500 FA TAZOBACTAM + PIPERACILINA 4,5 G9 400 FA MEROPENEM 1 G10 3000 FANOREPINEFRINA (HEMITARTARATO) 2MG/ML AMPOLA 4 ML SOLUÇÃO INJETÁVEL11 300 AMP DOPAMINA, CLORIDRATO 5 MG/ML SOLUÇÃO INJETÁVEL 10ML12 5000 AMP MIDAZOLAM 15MG AMPOLA 10 ML INJETÁVEL13 250 AMP ETILEFRINA 10MG/ML SOLUÇÃO INJETÁVEL14 300 AMP HEPARINA 5.000 UI 5 ML15 1000 CPR ISOSSORBIDA, MONONITRATO 40 MG, COMPRIMIDO SULCADO16 500 AMP HIDRALAZINA, CLORIDRATO 20MG/ML, SOLUÇÃO INJETÁVEL17 1500 AMPFENTANILA, CITRATO 78,5 MCG/ML (EQUIVALENTE A 50 MCG/ML) AMPOLA 2 ML SOLUÇÃO INJETÁVEL18 100 AMP FLUMAZENIL 0,1 MG/ML SOLUÇÃO INJETÁVEL19 500 UND LEVOFLOXACINO 5MG/ML 100ML INJETÁVELCONVENENTE: SECRETARIA MUNICIPAL DE COMUNICAÇÃOCONVENIADO: BANCO DO BRASIL S/A OBJETO: A SECRETARIA MUNICIPAL DE COMUNICAÇÃO ADERE FORMALMENTE, NESTE ATO, AOS SERVIÇOS ABAIXO, ENUMERADOS NO INCISO I, DA(S) ALÍNEA(S) “A”, “B”, “C”, “D”, “E”, “F”, “G” E NO INCISO II, DA(S) ALÍNEA(S) “A”, “B”, “C”, “D”, “E”, “F”, “G”, “H”, “I”, “J”, “K”, “L”, “M”, “N”, “O”, “P”, “Q”, “R”, “S”, “T”, “U”, “V”, “W”, “X” E “Y” DA CLÁUSULA SEGUNDA, DO CONTRATO Nº 006/2020."
733620757bb3a7f576468f065331192166a9b102.txt,ITEM 06: IVERMECTINA 6 MG COMPRIMIDO.
676d0a35bd0b3a0ecad0c231a8e3b988a1d8d040.txt,"EMPRESA - MEDSI DISTRIBUIDORA DE MEDICAMENTOS LTDAITEM 04 - IVERMECTINA,6MG, COMPRIMIDO, EMBALADO EM BLISTER OU ENVELOPE COMNO MÍNIMO 2 UNIDADES."
fa55d6b3d6ac583c438cecd5f903ce4af9f11466.txt,"QUANTIDADE: 4.000 COMPRIMIDOSVALOR UNITÁRIO: R$ 0,1928VALOR TOTAL: R$ 771,20MARCA: ZYDUSITEM 09: 211653 / IVERMECTINA 6 MG COMPRIMIDO [BR0376767] . CONFORME ESPECIFICAÇÕES INSERIDAS E PREVISTAS EM EDITAL."
7680369a6d41818268ed9b0527c3426e55ca5376.txt,"EPP ITEM 05 - IVERMECTINA,6MG, COMPRIMIDO , EMBALADO EM BLISTER OU ENVELOPE COM NO MÍNIMO 2 UNIDADESMARCA/MODELO: VITAMEDICVALOR UNITÁRIO: R$ 0,21DIÁRIO OFICIAL ELETRÔNICOATOS DO MUNICÍPIO DE CURITIBANº 178 - ANO IXCURITIBA, SEXTA-FEIRA, 18 DE SETEMBRO DE 2020PÁGINA 10 EMPRESA - VISAO DISTRIBUIDORA DE MEDICAMENTOS LTDA ITEM 04 - METOPROLOL, 1MG/ML , INJETÁVEL, EMBALADO EM AMPOLA COM 5ML."
185aaa6c889beb0020f46e17482782df4897db6c.txt,"FRANCO AGRO PET LTDA  -ITEM 7: IVERMECTINA INJETÁVEL, CADA 100 ML CONTÉM: IVERMECTINA 1G, VEÍCULO Q.S.P."
185aaa6c889beb0020f46e17482782df4897db6c.txt,"MARCA/MODELO: CAPRODYL CEVA VALOR UNITÁRIO: R$26,0000 QUANTIDADE: 20 VALOR TOTAL: R$520,00 DIÁRIO OFICIAL ELETRÔNICOATOS DO MUNICÍPIO DE CURITIBANº 153 - ANO IXCURITIBA, QUARTA-FEIRA, 12 DE AGOSTO DE 2020PÁGINA 21-ITEM 21: ANTIPARASITÁRIO, DE USO ORAL, A BASE DE IVERMECTINA 3 MG, USO VETERINÁRIO, CAIXA COM 20 COMPRIMIDOS."
fa73504e42fbf7b4a49c6c9123ef0819431fe2e2.txt,"ITEM(NS) COM MENOR PREÇOITEM 7: IVERMECTINA,6MG, COMPRIMIDO, EMBALADO EM BLISTER OU ENVELOPE COM NO MÍNIMO 2 UNIDADES."
a3ff890b18f7bb823699381393fb5b4723914dc0.txt,ITEM 10: 211653 - BR0376767 / IVERMECTINA 6 MG COMPRIMIDO.
6183d48861be5cdd1803f96502ae55fb9ae3f93b.txt,ITEM 20 (IVERMECTINA 6 MG COMPRIMIDO).
c724e93a03bc25ea3519ede5d9adeb3e586c44a3.txt,ITEM 20 (IVERMECTINA 6 MG COMPRIMIDO).
9e9db4744937e0d73f07d4b7d04cb7ce3a717a68.txt,"2.3 IVERMECTINA APRESENTAÇÃO: COMPRIMIDO DE 6MG VIA DE ADMINISTRAÇÃO: ORAL INDICAÇÕES:   DIÁRIO OFICIAL ELETRÔNICOATOS DO MUNICÍPIO DE CURITIBANº 114 - ANO XCURITIBA, SEGUNDA-FEIRA, 14 DE JUNHO DE 2021PÁGINA 57PEDICULOSE (PIOLHO): CAUSADA PELO ACARO PEDICULUS HUMANUS CAPITIS  ESCABIOSE (SARNA): CAUSADA PELO ÁCARO SARCOPTES SCABIEI."
9e9db4744937e0d73f07d4b7d04cb7ce3a717a68.txt,"2.3.1 TRATAMENTO DE PEDICULOSE: DUAS DOSES DE IVERMECTINA, COM 7-10DIAS DE INTERVALO ENTRE ELAS."
