filename,data,municipio,estado,remedio,texto,cnpj
34c244786f1b1e03e403c53c62ad0053c3c9760c.txt,2020-06-22T13:03:53Z,Salvador,Bahia,ivermectina,"JOSÉ EGÍDIO DE SANTANAPRESIDENTE/COPELDISPENSA DE LICITAÇÃO Nº 154/2020PROCESSO Nº: 9267/2020CONTRATADA: ESTRATTI VEGETALI FARMÁCIA E MANIPULAÇÃO EIRELI - MECNPJ: 04.162.170/0001-23OBJETO: AQUISIÇÃO DO MEDICAMENTO: IVERMECTINA 6 MG (15.000 CÁPSULAS), CONSIDERANDO O AUMENTO NO NÚMERO DE CASOS DE CORONAVÍRUS (COVID-19) E A DISSEMINAÇÃO GLOBAL, TORNA-SE DE EXTREMA URGÊNCIA A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS DE SAÚDE PARA O ENFRENTAMENTO DA DOENÇA, CONFORME CI ASSISTÊNCIA FARMACÊUTICA Nº 213/2020.",04.162.170/0001-23
260e14014a291f89ddb138945ce0fc4a90c6eb12.txt,2020-10-21T22:46:01Z,Teresina,Piauí,ivermectina,"RA-TIFICO O ENTENDIMENTO EXPOSTO NO PARECER REFERENCIAL N° 01/2020, DA ASSESSORIA JURÍDICA, DESTA FUNDAÇÃO, E DEMAIS PARECERES E INFORMAÇÕES, POR CONSIDERAR SUFICIENTES OS ARGUMENTOS CONTIDOS NOS AUTOS DO PROCES-SO ADMINISTRATIVO N° 00045.028874/2020-24, PELA CONTRATAÇÃO DIRETA, POR DISPENSA DE LICITAÇÃO EM FUNÇÃO DE EMERGÊNCIA DECORRENTE DA PANDEMIA DE COVID-19, DA EMPRESA PHARMA MANIPULAÇÃO LTDA., INSCRITA NO CNPJ SOB Nº 08.306.438/0001-04, PARA FORNECIMENTO DE 90.000 UNIDADES DO MEDICAMENTO IVERMECTINA, 6MG, AQUISIÇÃO NO VALOR DE R$ 85.500,00 (OITENTA E CINCO MIL E QUINHENTOS REAIS), TUDO EM CONFORMIDADE COM O ART.",08.306.438/0001-04
dfb37f9fcf2e1ffca6a6e49dc8a7a6ef0fafca1a.txt,2020-12-10T00:04:06Z,Manaus,Amazonas,ivermectina,"DISPENSO O PROCEDIMENTO LICITATÓRIO, COM BASE NO ARTIGO 24, INCISO IV, DA LEI Nº 8.666/1993, VISANDO À CONTRATAÇÃO DIRETA DA EMPRESA HOSPSHOP MEDICAL EIRELI - EPP PARA FORNECIMENTO DE 65.000 (SESSENTA E CINCO MIL) COMPRIMIDOS DE IVERMECTINA 6 MG, CONFORME ESPECIFICAÇÕES DO PROJETO BÁSICO, PARA ATENDER ÀS NECESSIDADES DOS ESTABELECIMENTOS ASSISTENCIAIS DE SAÚDE DA SECRETARIA MUNICIPAL DE SAÚDE – SEMSA NA SITUAÇÃO EPIDEMIOLÓGICA EMERGENCIAL DA COVID-19 EM MANAUS, PELO VALOR DE R$ 48.750,00 (QUARENTA E OITO MIL E SETECENTOS E CINQUENTA REAIS).",
48754976b557ced1b37a97cd871741a8d5660b8b.txt,2020-11-05T19:55:59Z,Cuiaba,Mato Grosso,ivermectina,"IRANIZO MATOS RODRIGUESPREGOEIROPORTARIA Nº 136/2020 RESULTADO DE LICITAÇÃO PREGÃO ELETRÔNICO Nº 028/2020A PREFEITURA DE CANABRAVA DO NORTE-MT, ATRAVÉS DO PREGOEIRO DESIGNADO PELA PORTARIA Nº 136/2020 DE 06 DE ABRIL DE 2020, TORNA PÚBLICO O RESULTADO DO PREGÃO ELETRÔNICO 028/2020, CUJO OBJETO É O  REGISTRO DE PREÇOS PARA POSSÍVEL E EVENTUAL AQUISIÇÃO DE AZITROMICINA 500MG COMPRIMIDOS E IVERMECTINA 6MG COMPRIMIDOS PARA TRATAMENTO NO COMBATE AO COVID-19,  PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE SAÚDE,  PARA ENTREGA DE FORMA IMEDIATA (5  DIAS), ONDE A EMPRESA:  SILVA & SILVA PRODUTOS FARMACÊUTICOS LTDA - ME, INSCRITA NO CNPJ SOB O Nº 84.551.191/0001-70, SAGROU-SE VENCEDORA DO ITEM NO VALOR GLOBAL DE R$ 13.820,00 (TREZE MIL OITOCENTOS E VINTE REAIS).CANABRAVA DO NORTE-MT, 20 DE AGOSTO DE 2020.",84.551.191/0001-70
d658afdb9eeec69b0c258f9e61175b2133dd72e6.txt,2020-11-05T19:40:20Z,Cuiaba,Mato Grosso,ivermectina,"ANKE HELGA SCHWABE, NO USO DE SUAS ATRIBUIÇÕES LEGAIS E REGULARES QUE LHE SÃO CONFERIDAS.CONSIDERANDO  O  RECONHECIMENTO  PELA  ORGANIZAÇÃO  MUNDIAL  DE SAÚDE – OMS, DE UMA PANDEMIA DE COVID-19/SARS-COV-2, BEM COMO A PUBLICAÇÃO DO DECRETO MUNICIPAL Nº 025, DE 10 DE MARÇO DE 2020, ESTABELECENDO O ESTADO DE EMERGÊNCIA MUNICIPAL.CONSIDERANDO  AS  DIRETRIZES  PARA  O  TRATAMENTO  FARMACOLÓGICO  DA COVID-19, CONSENSO DA ASSOCIAÇÃO DE MEDICINA INTENSIVA BRASILEIRA, DA SOCIEDADE BRASILEIRA DE  INFECTOLOGIA E DA SOCIEDADE BRASILEIRA DE PNEUMOLOGIA E TISIOLOGIA, DE 18 DE MAIO DE 2020.CONSIDERANDO  AS  ORIENTAÇÕES  DO  MINISTÉRIO  DA  SAÚDE  PARA MANUSEIO MEDICAMENTOSO PRECOCE DE PACIENTES COM DIAGNÓSTICO DA COVID-19, DE 16 DE JUNHO DE 2020.CONSIDERANDO  O  PROTOCOLO  PARA  USO  DOMICILIAR  DA IVERMECTINA DURANTE  TRATAMENTO  DA COVID-19,  MARINHA DO  BRASIL  -  HOSPITAL NAVAL MARCÍLIO  DIAS,  CLÍNICA DE DOENÇAS INFECCIOSAS  E PARASITÁRIAS,  SERVIÇO DE CONTROLE DE INFECÇÃO HOSPITALAR. CONSIDERANDO  UM  CONSENSO  SOBRE O TRATAMENTO  FARMACOLÓGICO  DA COVID-19: UM RESUMO. DR. SERGIO CIMERMAN. DR. CLÓVIS ARNS, 20 DE MAIO DE 2020.CONSIDERANDO A NOTA DE ESCLARECIMENTO DO CONSELHO REGIONAL DE MEDICINA – CRM/MT, DE 30 DE JUNHO DE 2020, SOBRE TRATAMENTO FARMACOLÓGICO DA COVID-19.CONSIDERANDO O POSICIONAMENTO DA SBPT – SOCIEDADE BRASILEIRA DE PNEUMOLOGIA E TISIOLOGIA, ACERCA DA PROFILAXIA E TRATAMENTO DA COVID-19, DE 29 DE JUNHO DE 2020.CONSIDERANDO  O  INFORME  DA  SOCIEDADE  BRASILEIRA  DE  INFECTOLOGIA SOBRE O NOVO CORONAVÍRUS Nº 15: USO DE MEDICAMENTOS PARA COVID-19, DE 30 DE JUNHO DE 2020.CONSIDERANDO  O  PROTOCOLO  DE  MANEJO  CLÍNICO  DO CORONAVÍRUS (COVID-19) NA ATENÇÃO PRIMÁRIA À SAÚDE, SECRETARIA DE ATENÇÃO PRIMÁRIA À SAÚDE (SAPS) DO MINISTÉRIO DA SAÚDE, MARÇO DE 2020.CONSIDERANDO  O  FLUXO  MUNICIPAL  DE  ATENDIMENTO  A  PACIENTES SUSPEITOS/CONFIRMADOS  PELO  COVID-19,  ESTABELECIDO  PELA  EQUIPE  DE  SAÚDE  DE  NOVA  MUTUM,  REVISADO E APROVADO PELO CONSELHO MUNICIPAL DE SAÚDE EM 25 DE JUNHO DE 2020.CONSIDERANDO  O  PLANO  DE  CONTINGÊNCIA  MUNICIPAL  PARA  INFECÇÃO HUMANA  PELO  NOVO  CORONAVÍRUS  COVID-19,  ATUALIZADO  E  APROVADO  PELO  CONSELHO  MUNICIPAL  DE SAÚDE EM 25 DE JUNHO DE 2020.CONSIDERANDO  A  NOTA  TÉCNICA  CONJUNTA  CRF/MT  E  CRM/MT  –  PRESCRIÇÃO E DISPENSAÇÃO DE MEDICAMENTOS PARA O TRATAMENTO DO COVID-19.CONSIDERANDO  A  RELAÇÃO MUNICIPAL DE  MEDICAMENTOS – REMUME PADRONIZADOS PELO MUNICÍPIO DE NOVA MUTUM, ATUALIZADO EM MARÇO DE 2020.CONSIDERANDO  QUE  OS  MEDICAMENTOS  INDICADOS  NO  TRATAMENTO  DE SINTOMAS DA COVID-19 SEMPRE FORAM DISPONIBILIZADOS NA FARMÁCIA MUNICIPAL, SENDO DISPENSADOS  MEDIANTE PRESCRIÇÃO MÉDICA DO SUS.CONSIDERANDO  QUE  NO  INÍCIO  DE  DEZEMBRO  DE  2019,  OS  PRIMEIROS CASOS DE UMA PNEUMONIA DE ORIGEM DESCONHECIDA FORAM DESCRITOS NA CIDADE DE WUHAN, CHINA.",
d658afdb9eeec69b0c258f9e61175b2133dd72e6.txt,Não Informado,Cuiaba,Mato Grosso,ivermectina,"MEDICAMENTOS DISPONÍVEIS PARA TRATAMENTO DO COVID-19 SÃO:I) ANTIBIÓTICOS  –  AZITROMICINA  500MG,  OU  OUTRO  ANTIBIÓTICO PADRONIZADO NA REMUME 2020.II) ANTI-HELMÍNTICO – IVERMECTINA 6MG COMPRIMIDO.PUBLICAÇÃO   OFICIAL   DO   TRIBUNAL   DE   CONTAS   DE  MATO   GROSSO    –    LEI   COMPLEMENTAR   475   DE   27   DE   SETEMBRO   DE   2012COORDENAÇÃO:SECRETARIA GERAL DO TRIBUNAL PLENO: TELEFONE (65) 3613-7678  - E-MAIL: DOC_TCE@TCE.MT.GOV.BRRUA CONSELHEIRO BENJAMIN DUARTE MONTEIRO, S/N, EDIFÍCIO MARECHAL RONDON – CENTRO POLÍTICO ADMINISTRATIVO – CUIABÁ-MT – CEP 78049-915DIÁRIO OFICIAL DE CONTASTRIBUNAL DE CONTAS DE MATO GROSSOANO 9  Nº 1946DIVULGAÇÃO SEGUNDA-FEIRA, 6 DE JULHO DE 2020 – PÁGINA 127PUBLICAÇÃO TERÇA-FEIRA, 7 DE JULHO DE 2020III) ANALGÉSICO/ANTITÉRMICO  –  DIPIRONA  500MG  COMPRIMIDO, DIPIRONA  500MG/ML  SOLUÇÃO  ORAL,  PARACETAMOL  500MG  COMPRIMIDO, PARACETAMOL 200MG/ML SOLUÇÃO ORAL OU OUTRO PADRONIZADO NA REMUME 2020.IV) CORTICÓIDES  -  PREDNISOLONA  3MG/ML  SOLUÇÃO  ORAL, PREDNISONA 5MG E 20MG COMPRIMIDO.V) QUALQUER  OUTRO  MEDICAMENTO  PADRONIZADO  NA  REMUME  2020, CONFORME NECESSIDADE CLÍNICA DO PACIENTE.",
d658afdb9eeec69b0c258f9e61175b2133dd72e6.txt,Não Informado,Cuiaba,Mato Grosso,ivermectina,"022/2020EU, SR. ANTONIO DOMINGO RUFATTO, PREFEITO DO MUNICÍPIO DE PARANAÍTA –  MT,  RATIFICO  O  ATO  DE  DISPENSA  DE  LICITAÇÃO  Nº  022/2020,  OBJETIVANDO  RECONHECER  E  TORNAR PÚBLICO A CONTRATAÇÃO DA EMPRESA ALTERNATIVA PHARMACIA DE MANIPULAÇÃO LTDA – ME,  INSCRITA  NO  CNPJ  Nº  04.705.640/0001-58,  PARA  FORNECIMENTO  E/OU  EXECUÇÃO  DO  OBJETO: CONTRATAÇÃO  DE  EMPRESA  PARA  FORNECIMENTO DO  MEDICAMENTO IVERMECTINA 6 MG, PARA ATENDER À DEMANDA ATUAL DIANTE DA PANDEMIA,  INDICADO  PARA  A  PROFILAXIA  DE  COVID-19,  CONFORME  DECRETO  MUNICIPAL 116/2020  DA  PREFEITURA  MUNICIPAL  DE  PARANAÍTA-MT,  E  O  VALOR  GLOBAL  DE R$ 19.500,00 (DEZENOVE MIL E QUINHENTOS REAIS), CONFORME LEGISLAÇÃO VIGENTE, APLICA-SE A DISPENSA DE LICITAÇÃO FUNDAMENTADO NA LEI 8.666/93, ART.",04.705.640/0001-58
1cacba4fc34607207404fa5481f137130508dcf3.txt,Não Informado,Cuiaba,Mato Grosso,ivermectina,"(CENTRAL  DE  ATENDIMENTO  COVID:  3512-3167/3512-3168/3512-3187/3512-3188)PROTOCOLO PARA TRATAMENTO DE COVID-19SINAIS E SINTOMAS LEVES:- ANOSMIA - AGEUSIA - CORIZA - DIARREIA - DOR ABDOMINAL - FEBRE - MIALGIA - TOSSE - FADIGA - CEFALEIA  SINAIS E SINTOMAS MODERADOS:A) TOSSE PERSISTENTE + FEBRE PERSISTENTE DIÁRIA OU B) TOSSE PERSISTENTE + PIORA PROGRESSIVA DE OUTRO SINTOMA RELACIONADO A  COVID-19 (ADINAMIA, PROSTRAÇÃO, HIPOREXIA, DIARREIA) OU C) PELO MENOS UM DOS SINTOMAS ACIMA + PRESENÇA DE FATOR DE RISCO SINAIS DE GRAVIDADE:- SÍNDROME RESPIRATÓRIA AGUDA GRAVE – SÍNDROME GRIPAL QUE APRESENTE- DISPNEIA/DESCONFORTO RESPIRATÓRIO OU PRESSÃO PERSISTENTE NO TÓRAX OU SATURAÇÃO DE O2 MENOR QUE 95% EM AR AMBIENTE OU COLORAÇÃO AZULADA DE LÁBIOS OU ROSTO ORIENTAÇÃO PARA PRESCRIÇÃO EM PACIENTES ADULTOS A) FASE 1 (1º AO 5º DIA) E FASE 2 (6º AO 14º DIA) PARA CASOS DE SINAIS E  SINTOMAS LEVES ATENDIDO NO SETOR DE SÍNDROMES GRIPAIS (PSF- ANA NERI).DIFOSFATO DE CLOROQUINA =D1: 500MG 12/12H (300 MG DE CLOROQUINA BASE) =D2 AO D5: 500 MG 24/24H (300 MG DE CLOROQUINA BASE) +SULFATO DE ZINCO 100 MG=50 MG VO DE 12/12 HORAS POR 10 DIAS+IVERMECTINA 6 MG= 1 CP A CADA 30 KG DOSE ÚNICA+AZITROMICINA =500MG 1X AO DIA, DURANTE 5 DIASOU SULFATO DE HIDROXICLOROQUINA =D1: 400MG 12/12H =D2 AO D5: 400MG 24/24H + AZITROMICINA =500MG 1X AO DIA, DURANTE 5 DIAS+ SULFATO DE ZINCO 100 MG=50 MG VO DE 12/12 HORAS POR 10 DIAS+IVERMECTINA 6 MG= 1 CP A CADA 30 KG DOSE ÚNICAB) FASE 3 (APÓS 14º DIA) PARA CASOS DE SINAIS E SINTOMAS LEVES ATENDIDO NO SETOR DE SÍNDROMES GRIPAIS (PSF- ANA NERI)- PRESCREVER MEDICAMENTO SINTOMÁTICO CONFORME AVALIAÇÃO MÉDICA DOS CASOS LEVES.SINAIS E SINTOMAS LEVES (SÍNDROMES GRIPAIS (PSF- ANA NERI)- PRESCREVER MEDICAMENTO SINTOMÁTICO CONFORME AVALIAÇÃO MÉDICA.",
5eea909fe35ae894d088825ec081a16524826ca3.txt,Não Informado,Cuiaba,Mato Grosso,ivermectina,"OBJETO:  AQUISIÇÃO DE MEDICAMENTO IVERMECTINA 6MG,  PRESCRITO  NO  COMBATE  AO  CORONAVIRUS  (COVID-19),  EM  ATENDIMENTO  A SECRETARIA DE SAÚDE DO MUNICÍPIO DE PARANATINGA/MT, COM FULCRO NA LEI FEDERAL 13.979/2020 COM  REDAÇÃO DADA PELA MEDIDA PROVISÓRIA Nº 926/2020.",
5eea909fe35ae894d088825ec081a16524826ca3.txt,Não Informado,Cuiaba,Mato Grosso,ivermectina,"OBJETO:  AQUISIÇÃO DE MEDICAMENTO IVERMECTINA 6MG,  PRESCRITO  NO  COMBATE  AO  CORONAVIRUS  (COVID-19),  EM  ATENDIMENTO  A SECRETARIA DE SAÚDE DO MUNICÍPIO DE PARANATINGA/MT, COM FULCRO NA LEI FEDERAL 13.979/2020 COM  REDAÇÃO DADA PELA MEDIDA PROVISÓRIA Nº 926/2020.",
